sha,filename,url,lines,title,comment,priority,category,additional,id,private
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\components\ButtonDefault.tsx","","12:0-17:5","à exporter","Créer dossier de typage","2","Architecture","","8a4c689f-77b4-4976-855c-a6ad964a9581","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\components\InputDefault.tsx","","4:0-14:2","à exporter","Créer dossier de typage","2","Architecture","","20d3b6d0-11e3-49ea-8863-54921f081e8c","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\components\SelectDefault.tsx","","12:2-12:64","repace any by unknown","préférer placer des unknown aux any \nsupprimer // eslint-disable-next-line @typescript-eslint/no-explicit-any","3","Code-Style","","020857b7-bbc2-48e0-a2c7-3ed712e5f856","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\components\SelectDefault.tsx","","4:0-15:2","à exporter","Créer dossier de typage","2","Architecture","","225c695b-3eed-49d0-a7fc-a9f1202c2335","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\components\TextareaDefault.tsx","","4:0-13:2","même commentaire que pour SelectDefault","","2","Architecture","","642b24c4-cf35-4c25-9d08-5136ea02cf66","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\components\NavBar\NavBar.tsx","","10:0-12:1","à exporter","Créer dossier de typage","2","Architecture","","48e15077-0a33-4631-8b71-adb71469154b","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\pages\Home\Homepage.tsx","","7:0-7:24","supprimer console.log avant commit","attention au console.log dans les commit","2","Best Practices","","3b1ce4c3-d821-4d3b-96b2-8204edf448c1","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\pages\Login\Login.tsx","","11:0-21:2","à exporter ","Créer dossier de dataValidation ","2","Architecture","","9087987b-3344-4b8c-8468-352a1b6dbc6b","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\pages\Login\Login.tsx","","32:7-32:42","corriger typage","passer le typage de LoginForm pour le champ checkbox en optionnel \ncheckbox?: ","3","Error Handling","","8d3dd5ab-6034-403f-b116-0600ebde2730","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\pages\Login\ResetPassPage.tsx","","7:0-9:4","à exporter","Créer dossier de typage","2","Architecture","","abc3ae56-05c7-473f-af62-cfba4711aeb1","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\pages\Profil\UpdateProfilePage.tsx","","17:0-25:0","à exporter","Créer dossier de typage","2","Architecture","","4d6bb2a1-83ff-447f-9914-1a209fe59dee","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\pages\Login\Login.tsx","","15:0-19:139","incompréhension","Ici je ne comprend pas pourquoi faire une vérification qui me semble plus utile pour le signup que le pour le login?","3","Error Handling","","e01bb081-54e8-49b2-9659-b4da540dead7","0"
"92b70f02384ae536e6923b33d87f67ab561b047f","\src\pages\SignUp\SignUpPage.tsx","","29:0-36:72","pas de validation de complexité de mot de passe","cf.: login.tsx\nje pense qu'il y a eu une inversion ici","3","Error Handling","","31a19821-a50a-4b2f-afa1-c091ba55adb1","0"
